taxonid,assessmentid,kingdom,phylum,class,order,family,genus,species,infrarank,infratype,subpopulation,friendly_name,taxonomic_authority,category,criteria,possibly_extinct,possibly_extinct_wild,assessmentdate,assessors,evaluators,contributors,facilitators
2060,45224212,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,pusillus,,,,Arctocephalus pusillus,"(Schreber, 1775)",LC,,FALSE,FALSE,02-Mar-15,"Hofmeyr, G.J.G.","Goldsworthy, S.D.","Kirkman, S., Meÿer, M. & Roux, J.-P","Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. & Battistoni, A."
2061,45224420,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,townsendi,,,,Arctocephalus townsendi,"Merriam, 1897",LC,,FALSE,FALSE,10-Oct-14,"Aurioles-Gamboa, D.","Trillmich, F., Bohórquez-Herrera, J. & Hernández-Camacho, J.",,"Lowry, L., Ahonen, H., Chiozza, F. & Battistoni, A."
2062,45224547,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,tropicalis,,,,Arctocephalus tropicalis,"(J.E. Gray, 1872)",LC,,FALSE,FALSE,10-Dec-14,"Hofmeyr, G.J.G.","Goldsworthy, S.D.",,"Lowry, L., Pollock, C.M., Ahonen, H., Chiozza, F. & Battistoni, A."
3590,45224953,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Callorhinus,ursinus,,,,Callorhinus ursinus,"(Linnaeus, 1758)",VU,A2b,FALSE,FALSE,26-Mar-15,"Gelatt, T., Ream, R. & Johnson, D.","Lowry, L.",,"Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. & Battistoni, A."
6204,45225150,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Cystophora,cristata,,,,Cystophora cristata,"(Erxleben, 1777)",VU,A3c,FALSE,FALSE,07-Jun-15,"Kovacs, K.M.","Lowry, L.",,"Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. and Battistoni, A."
8010,45225428,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Erignathus,barbatus,,,,Erignathus barbatus,"(Erxleben, 1777)",LC,,FALSE,FALSE,17-Feb-16,"Kovacs, K.M.","Lowry, L.",,"Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. and Battistoni, A."
8239,45225749,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Eumetopias,jubatus,,,,Eumetopias jubatus,"(Schreber, 1776)",NT,,FALSE,FALSE,04-Feb-16,"Gelatt, T. & Sweeney, K.","Lowry, L.","Fritz, L. & Burkanov, V.","Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. and Battistoni, A."
9660,45226042,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Halichoerus,grypus,,,,Halichoerus grypus,"(Fabricius, 1791)",LC,,FALSE,FALSE,01-Mar-16,"Bowen, D.","Kovacs, K.M.",,"Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. and Battistoni, A."
10340,45226422,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Hydrurga,leptonyx,,,,Hydrurga leptonyx,"(de Blainville, 1820)",LC,,FALSE,FALSE,20-Jan-15,"Hückstädt, L.","Kovacs, K.M.",,"Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. & Battistoni, A."
11696,45226713,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Leptonychotes,weddellii,,,,Leptonychotes weddellii,"(Lesson, 1826)",LC,,FALSE,FALSE,02-Dec-14,"Hückstädt, L.","Boveng, P.",,"Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. & Battistoni, A."
12246,45226918,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Lobodon,carcinophaga,,,,Lobodon carcinophaga,"(Hombron & Jacquinot, 1842)",LC,,FALSE,FALSE,01-Dec-14,"Hückstädt, L.","Boveng, P.",,"Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. & Battistoni, A."
13581,45227116,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Mirounga,angustirostris,,,,Mirounga angustirostris,"(Gill, 1866)",LC,,FALSE,FALSE,08-Dec-14,"Hückstädt, L.","Hofmeyr, G.J.G.","Campagna, C.","Lowry, L., Ahonen, H., Chiozza, F. & Battistoni, A."
13583,45227247,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Mirounga,leonina,,,,Mirounga leonina,"(Linnaeus, 1758)",LC,,FALSE,FALSE,12-Dec-14,"Hofmeyr, G.J.G.","Hückstädt, L.A.",,"Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. & Battistoni, A."
13654,45227978,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Neomonachus,schauinslandi,,,,Neomonachus schauinslandi,"(Matschie, 1905)",EN,C1,FALSE,FALSE,18-Nov-14,"Littnan, C., Harting, A. & Baker, J.","Karamanlidis, A.A. & Trillmich, F.","Aguilar, A.","Lowry, L., Ahonen, H., Chiozza, F. & Battistoni, A."
13655,45228171,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Neomonachus,tropicalis,,,,Neomonachus tropicalis,"(Gray, 1850)",EX,,FALSE,FALSE,04-Jun-14,"Lowry, L.","Littnan, C.","Kovacs, K.M.","Chiozza, F. & Battistoni, A."
14549,45228341,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Neophoca,cinerea,,,,Neophoca cinerea,"(Péron, 1816)",EN,A2bd,FALSE,FALSE,03-Nov-14,"Goldsworthy, S.D.","Chilvers, B.L.","Gales, N.J.","Lowry, L., Ahonen, H., Chiozza, F. & Battistoni, A."
15106,45228501,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,ODOBENIDAE,Odobenus,rosmarus,,,,Odobenus rosmarus,"(Linnaeus, 1758)",VU,A3c,FALSE,FALSE,05-Feb-16,"Lowry, L.","Kovacs, K.M.",,"Ahonen, H., Pollock, C.M., Chiozza, F. and Battistoni, A."
15269,45228952,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Ommatophoca,rossii,,,,Ommatophoca rossii,"(Gray, 1844)",LC,,FALSE,FALSE,30-Sep-14,"Hückstädt, L.","Kovacs, K.M.",,"Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. & Battistoni, A."
17013,45229114,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Phoca,vitulina,,,,Phoca vitulina,"Linnaeus, 1758",LC,,FALSE,FALSE,04-Jan-16,"Lowry, L.","Harvey, J.",,"Ahonen, H., Pollock, C.M., Chiozza, F. & Battistoni, A."
17023,45229806,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Phoca,largha,,,,Phoca largha,"(Pallas, 1811)",LC,,FALSE,FALSE,03-Jun-15,"Boveng, P.","Lowry, L.",,"Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. & Battistoni, A."
41664,45230026,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,forsteri,,,,Arctocephalus forsteri,"(Lesson, 1828)",LC,,FALSE,FALSE,05-Nov-14,"Chilvers, B.L. & Goldsworthy, S.D.","Lowry, L.","Gales, N.J.","Lowry, L., Battistoni, A., Ahonen, H. & Chiozza, F."
41666,45230310,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Zalophus,californianus,,,,Zalophus californianus,"(Lesson, 1828)",LC,,FALSE,FALSE,12-Dec-14,"Aurioles-Gamboa, D. & Hernández-Camacho, J.","Harvey, J.",,"Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. & Battistoni, A."
41668,45230540,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Zalophus,wollebaeki,,,,Zalophus wollebaeki,"Sivertsen, 1953",EN,A2ab,FALSE,FALSE,26-Oct-14,"Trillmich, F.","Aurioles-Gamboa, D.",,"Lowry, L., Pollock, C.M., Ahonen, H., Chiozza, F. & Battistoni, A."
41669,45230700,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Pusa,caspica,,,,Pusa caspica,"(Gmelin, 1788)",EN,A2b,FALSE,FALSE,10-Jul-15,"Goodman, S. & Dmitrieva, L.","Lowry, L.","Härkönen , T.","Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. & Battistoni, A."
41670,45230946,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Histriophoca,fasciata,,,,Histriophoca fasciata,"(Zimmerman, 1783)",LC,,FALSE,FALSE,09-Jun-15,"Lowry, L.","Boveng, P.",,"Ahonen, H., Pollock, C.M., Chiozza, F. and Battistoni, A."
41671,45231087,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Pagophilus,groenlandicus,,,,Pagophilus groenlandicus,"(Erxleben, 1777)",LC,,FALSE,FALSE,06-Jun-15,"Kovacs, K.M.","Lowry, L.",,"Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. & Battistoni, A."
